Airport,Code, Originating_Domestic_Passengers  
"Los Angeles, CA: Los Angeles International",LAX,"  1,324,394 "
"Denver, CO: Denver International",DEN,"  1,138,192 "
"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,"  1,088,364 "
"Chicago, IL: Chicago O'Hare International",ORD,"  1,085,583 "
"Orlando, FL: Orlando International",MCO,"  925,518 "
"Boston, MA: Logan International",BOS,"  919,227 "
"Newark, NJ: Newark Liberty International",EWR,"  919,009 "
"Seattle, WA: Seattle/Tacoma International",SEA,"  908,387 "
"Phoenix, AZ: Phoenix Sky Harbor International",PHX,"  868,167 "
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW,"  859,264 "
"Las Vegas, NV: Harry Reid International",LAS,"  829,770 "
"San Francisco, CA: San Francisco International",SFO,"  820,323 "
"New York, NY: John F. Kennedy International",JFK,"  763,958 "
"New York, NY: LaGuardia",LGA,"  747,533 "
"Minneapolis, MN: Minneapolis-St Paul International",MSP,"  655,028 "
"Philadelphia, PA: Philadelphia International",PHL,"  612,722 "
"Houston, TX: George Bush Intercontinental/Houston",IAH,"  606,033 "
"San Diego, CA: San Diego International",SAN,"  605,311 "
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FLL,"  605,198 "
"Detroit, MI: Detroit Metro Wayne County",DTW,"  589,164 "
"Tampa, FL: Tampa International",TPA,"  547,506 "
"Miami, FL: Miami International",MIA,"  537,910 "
"Washington, DC: Ronald Reagan Washington National",DCA,"  531,181 "
"Austin, TX: Robert Mueller Municipal",AUS,"  520,863 "
"Austin, TX: Austin - Bergstrom International",AUS,"  520,863 "
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BWI,"  510,849 "
"Salt Lake City, UT: Salt Lake City International",SLC,"  464,454 "
"Nashville, TN: Nashville International",BNA,"  456,900 "
"Portland, OR: Portland International",PDX,"  447,280 "
"Charlotte, NC: Charlotte Douglas International",CLT,"  409,225 "
"Sacramento, CA: Sacramento International",SMF,"  390,303 "
"Chicago, IL: Chicago Midway International",MDW,"  389,902 "
"Raleigh/Durham, NC: Raleigh-Durham International",RDU,"  359,980 "
"Honolulu, HI: Daniel K Inouye International",HNL,"  345,472 "
"St. Louis, MO: St Louis Lambert International",STL,"  341,165 "
"Dallas, TX: Dallas Love Field",DAL,"  327,518 "
"San Jose, CA: Norman Y. Mineta San Jose International",SJC,"  325,744 "
"Oakland, CA: Metro Oakland International",OAK,"  323,701 "
"Santa Ana, CA: John Wayne Airport-Orange County",SNA,"  306,901 "
"Kansas City, MO: Kansas City International",MCI,"  305,067 "
"New Orleans, LA: Louis Armstrong New Orleans International",MSY,"  290,985 "
"Cleveland, OH: Cleveland-Hopkins International",CLE,"  285,126 "
"Indianapolis, IN: Indianapolis International",IND,"  278,800 "
"Washington, DC: Washington Dulles International",IAD,"  275,957 "
"San Antonio, TX: San Antonio International",SAT,"  270,392 "
"Pittsburgh, PA: Pittsburgh International",PIT,"  258,489 "
"San Juan, PR: Luis Munoz Marin International",SJU,"  255,939 "
"Cincinnati, OH: Cincinnati/Northern Kentucky International",CVG,"  254,412 "
"Houston, TX: William P Hobby",HOU,"  252,999 "
"Columbus, OH: John Glenn Columbus International",CMH,"  239,533 "
"Fort Myers, FL: Southwest Florida International",RSW,"  237,339 "
"Hartford, CT: Bradley International",BDL,"  204,954 "
"Ontario, CA: Ontario International",ONT,"  189,781 "
"Jacksonville, FL: Jacksonville International",JAX,"  187,142 "
"Burbank, CA: Bob Hope",BUR,"  186,773 "
"Milwaukee, WI: General Mitchell International",MKE,"  184,263 "
