iata_code,airport,municipality,iso_region,type,scheduled_service,latitude_deg,longitude_deg,elevation_ft,originating_domestic_passengers
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,PA,medium_airport,yes,40.651773,-75.442797,393.0,31414.0
ABI,Abilene Regional Airport,Abilene,TX,medium_airport,yes,32.4113006592,-99.6819000244,1791.0,4624.0
ABQ,Albuquerque International Sunport,Albuquerque,NM,large_airport,yes,35.039976,-106.608925,5355.0,137221.0
ABR,Aberdeen Regional Airport,Aberdeen,SD,medium_airport,yes,45.449100494384766,-98.42179870605467,1302.0,1658.0
ABY,Southwest Georgia Regional Airport,Albany,GA,medium_airport,yes,31.532946,-84.196215,197.0,2131.0
ACK,Nantucket Memorial Airport,Nantucket,MA,medium_airport,yes,41.25310135,-70.06020355,47.0,5447.0
ACT,Waco Regional Airport,Waco,TX,medium_airport,yes,31.611299514770508,-97.23049926757812,516.0,3383.0
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,medium_airport,yes,40.978101,-124.109,221.0,7686.0
ACY,Atlantic City International Airport,Atlantic City,NJ,medium_airport,yes,39.456201,-74.577511,75.0,31811.0
AEX,Alexandria International Airport,Alexandria,LA,medium_airport,yes,31.325828,-92.546702,89.0,6034.0
AGS,Augusta Regional At Bush Field,Augusta,GA,medium_airport,yes,33.3699,-81.9645,144.0,17187.0
AIA,Alliance Municipal Airport,Alliance,NE,medium_airport,yes,42.052543,-102.803965,3931.0,90.0
ALB,Albany International Airport,Albany,NY,large_airport,yes,42.748299,-73.801697,285.0,89318.0
ALO,Waterloo Regional Airport,Waterloo,IA,medium_airport,yes,42.557098388671875,-92.40029907226562,873.0,914.0
ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,CO,medium_airport,yes,37.434898,-105.866997,7539.0,315.0
ALW,Walla Walla Regional Airport,Walla Walla,WA,medium_airport,yes,46.09489822,-118.288002,1194.0,2376.0
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,medium_airport,yes,35.217857,-101.706444,3607.0,23877.0
AOO,Altoona Blair County Airport,Altoona,PA,medium_airport,yes,40.296398,-78.32,1503.0,87.0
APN,Alpena County Regional Airport,Alpena,MI,medium_airport,yes,45.0780983,-83.56030273,690.0,845.0
ART,Watertown International Airport,Watertown,NY,medium_airport,yes,43.991901,-76.021698,325.0,1494.0
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,CO,medium_airport,yes,39.223202,-106.869003,7820.0,11174.0
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,large_airport,yes,33.6367,-84.428101,1026.0,1088364.0
ATW,Appleton International Airport,Appleton,WI,medium_airport,yes,44.258515,-88.519,918.0,30300.0
ATY,Watertown Regional Airport,Watertown,SD,medium_airport,yes,44.91400146,-97.15470123,1749.0,337.0
AUG,Augusta State Airport,Augusta,ME,medium_airport,yes,44.320598602299995,-69.7973022461,352.0,189.0
AUS,Austin Bergstrom International Airport,Austin,TX,large_airport,yes,30.197535,-97.662015,542.0,520863.0
AUS,Austin Bergstrom International Airport,Austin,TX,large_airport,yes,30.197535,-97.662015,542.0,520863.0
AVL,Asheville Regional Airport,Asheville,NC,medium_airport,yes,35.435488,-82.541853,2165.0,54047.0
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,medium_airport,yes,41.337064,-75.724232,962.0,13236.0
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,medium_airport,yes,42.232105,-85.549637,874.0,4849.0
BKG,Branson Airport,Branson,MO,medium_airport,yes,36.532082,-93.200544,1302.0,314.0
BDL,Bradley International Airport,Hartford,CT,large_airport,yes,41.938555,-72.688016,173.0,204954.0
BFD,Bradford Regional Airport,Bradford,PA,medium_airport,yes,41.8031005859375,-78.64009857177734,2143.0,32.0
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,NE,medium_airport,yes,41.87400055,-103.5960007,3967.0,630.0
BFL,Meadows Field,Bakersfield,CA,medium_airport,yes,35.433601,-119.056999,510.0,9463.0
BGM,Greater Binghamton/Edwin A Link field,Binghamton,NY,medium_airport,yes,42.20869827,-75.97979736,1636.0,839.0
BGR,Bangor International Airport,Bangor,ME,medium_airport,yes,44.806364,-68.826668,192.0,19773.0
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,ME,medium_airport,yes,44.45000076,-68.3615036,83.0,138.0
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,large_airport,yes,33.562877,-86.750712,650.0,83986.0
BIH,Eastern Sierra Regional Airport,Bishop,CA,medium_airport,yes,37.3731,-118.363998,4124.0,446.0
BIL,Billings Logan International Airport,Billings,MT,medium_airport,yes,45.808932,-108.541242,3652.0,22867.0
BIS,Bismarck Municipal Airport,Bismarck,ND,medium_airport,yes,46.772734,-100.746874,1661.0,16336.0
BJI,Bemidji Regional Airport,Bemidji,MN,medium_airport,no,47.50939941,-94.93370056,1391.0,1748.0
BKW,Raleigh County Memorial Airport,Beaver,WV,medium_airport,yes,37.7873,-81.124199,2504.0,191.0
BLI,Bellingham International Airport,Bellingham,WA,medium_airport,yes,48.79280090332031,-122.53800201416016,170.0,24288.0
BLV,Scott AFB/Midamerica Airport,Belleville,IL,medium_airport,yes,38.5452,-89.835197,459.0,14069.0
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,IL,medium_airport,yes,40.4771,-88.915901,871.0,12387.0
BNA,Nashville International Airport,Nashville,TN,large_airport,yes,36.1245,-86.6782,599.0,456900.0
BOI,Boise Air Terminal/Gowen Field,Boise,ID,large_airport,yes,43.5644,-116.223,2871.0,138414.0
BOS,Boston Logan International Airport,Boston,MA,large_airport,yes,42.36197,-71.0079,20.0,919227.0
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,TX,medium_airport,yes,29.9508,-94.020699,15.0,1744.0
BQK,Brunswick Golden Isles Airport,Brunswick,GA,medium_airport,yes,31.258801,-81.466499,26.0,1644.0
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,medium_airport,yes,46.402861,-94.129727,1232.0,1484.0
BRL,Southeast Iowa Regional Airport,Burlington,IA,medium_airport,yes,40.783199310302734,-91.12550354003906,698.0,122.0
BRO,Brownsville South Padre Island International Airport,Brownsville,TX,medium_airport,yes,25.907238,-97.425235,22.0,7856.0
BTM,Bert Mooney Airport,Butte,MT,medium_airport,yes,45.95479965209961,-112.49700164794922,5550.0,1123.0
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,medium_airport,yes,30.533199,-91.149597,70.0,20059.0
BTV,Patrick Leahy Burlington International Airport,Burlington,VT,medium_airport,yes,44.471901,-73.153297,335.0,37383.0
BUF,Buffalo Niagara International Airport,Buffalo,NY,large_airport,yes,42.940498,-78.732201,728.0,136996.0
BUR,Hollywood Burbank/Bob Hope Airport,Burbank,CA,large_airport,yes,34.202834,-118.35805,778.0,186773.0
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,large_airport,yes,39.1754,-76.668297,146.0,510849.0
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,medium_airport,yes,45.778853,-111.153711,4473.0,56730.0
CAE,Columbia Metropolitan Airport,Columbia,SC,medium_airport,yes,33.938172,-81.123022,236.0,30308.0
CAK,Akron Canton Regional Airport,Akron,OH,medium_airport,yes,40.91609954833984,-81.44219970703125,1228.0,19637.0
CDC,Cedar City Regional Airport,Cedar City,UT,medium_airport,yes,37.70100021362305,-113.0989990234375,5622.0,837.0
CDR,Chadron Municipal Airport,Chadron,NE,medium_airport,yes,42.837601,-103.095001,3297.0,34.0
CEZ,Cortez Municipal Airport,Cortez,CO,medium_airport,yes,37.303001,-108.627998,5918.0,105.0
CGI,Cape Girardeau Regional Airport,Cape Girardeau,MO,medium_airport,yes,37.2253,-89.570801,342.0,318.0
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,medium_airport,yes,35.035301,-85.203796,683.0,27673.0
CHO,Charlottesville Albemarle Airport,Charlottesville,VA,medium_airport,yes,38.13859939575195,-78.4529037475586,639.0,16720.0
CHS,Charleston International Airport,Charleston,SC,large_airport,yes,32.896159,-80.038151,46.0,137380.0
CID,The Eastern Iowa Airport,Cedar Rapids,IA,medium_airport,yes,41.884701,-91.7108,869.0,41800.0
CIU,Chippewa County International Airport,Kincheloe,MI,medium_airport,yes,46.242038,-84.462082,800.0,1550.0
CKB,North Central West Virginia Airport,Bridgeport,WV,medium_airport,yes,39.2966,-80.228104,1217.0,3168.0
CLE,Cleveland Hopkins International Airport,Cleveland,OH,large_airport,yes,41.411701,-81.8498,791.0,285126.0
CLL,Easterwood Field,College Station,TX,medium_airport,yes,30.5886,-96.3638,320.0,3001.0
CLT,Charlotte Douglas International Airport,Charlotte,NC,large_airport,yes,35.2140007019043,-80.94309997558594,748.0,409225.0
CMH,John Glenn Columbus International Airport,Columbus,OH,large_airport,yes,39.998001,-82.891899,815.0,239533.0
CMI,University of Illinois Willard Airport,Savoy,IL,medium_airport,yes,40.039819,-88.276249,755.0,4179.0
CMX,Houghton County Memorial Airport,Hancock,MI,medium_airport,yes,47.168399810791016,-88.48909759521484,1095.0,1145.0
CNM,Cavern City Air Terminal,Carlsbad,NM,medium_airport,yes,32.337501525878906,-104.26300048828124,3295.0,43.0
CNY,Canyonlands Regional Airport,Moab,UT,medium_airport,yes,38.755001,-109.754997,4557.0,728.0
COD,Yellowstone Regional Airport,Cody,WY,medium_airport,yes,44.520199,-109.024002,5102.0,1807.0
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,large_airport,yes,38.805801,-104.700996,6187.0,65947.0
COU,Columbia Regional Airport,Columbia,MO,medium_airport,yes,38.8181,-92.219597,889.0,5075.0
CPR,Casper-Natrona County International Airport,Casper,WY,medium_airport,yes,42.907381,-106.461609,5350.0,4380.0
