time,weather_code (wmo code),temperature_2m_mean (°F),cloud_cover_mean (%),wind_speed_10m_mean (mp/h),relative_humidity_2m_mean (%),precipitation_sum (inch),IATA_CODE
2019-01-01,63,60.0,93,5.1,93,0.378,ATL
2019-01-02,63,53.0,85,4.3,93,0.571,ATL
2019-01-03,61,53.1,100,4.6,93,0.386,ATL
2019-01-04,65,53.5,85,13.1,83,1.315,ATL
2019-01-05,3,47.9,28,11.6,66,0.0,ATL
2019-01-06,3,52.0,16,5.4,71,0.0,ATL
2019-01-07,3,52.6,74,6.8,77,0.0,ATL
2019-01-08,51,56.1,76,10.8,80,0.016,ATL
2019-01-09,1,43.6,3,14.5,45,0.0,ATL
2019-01-10,3,34.2,34,12.1,54,0.0,ATL
2019-01-11,3,38.1,30,6.5,62,0.0,ATL
2019-01-12,61,38.6,100,12.6,78,0.378,ATL
2019-01-13,55,42.6,98,7.4,89,0.102,ATL
2019-01-14,3,41.7,76,10.0,79,0.0,ATL
2019-01-15,3,36.7,40,8.4,75,0.0,ATL
2019-01-16,3,37.5,16,6.8,79,0.0,ATL
2019-01-17,53,41.5,74,5.3,85,0.091,ATL
2019-01-18,51,49.8,98,4.2,91,0.008,ATL
2019-01-19,63,54.0,94,13.8,93,0.406,ATL
2019-01-20,3,33.9,34,17.4,56,0.0,ATL
2019-01-21,3,30.3,18,8.2,48,0.0,ATL
2019-01-22,51,36.9,61,12.9,58,0.008,ATL
2019-01-23,65,54.1,100,14.3,86,1.138,ATL
2019-01-24,53,40.4,50,12.4,74,0.098,ATL
2019-01-25,3,35.3,22,8.5,60,0.0,ATL
2019-01-26,3,36.6,33,6.2,65,0.0,ATL
2019-01-27,3,40.4,87,4.1,75,0.0,ATL
2019-01-28,3,44.7,44,7.5,69,0.0,ATL
2019-01-29,71,37.3,52,11.4,67,0.154,ATL
2019-01-30,3,31.1,46,7.9,55,0.0,ATL
2019-01-31,0,35.2,1,3.6,66,0.0,ATL
2019-02-01,3,42.9,46,4.8,65,0.0,ATL
2019-02-02,3,49.3,53,5.2,77,0.0,ATL
2019-02-03,61,51.2,57,5.0,85,0.126,ATL
2019-02-04,51,51.5,70,4.9,91,0.02,ATL
2019-02-05,51,59.1,56,5.0,88,0.012,ATL
2019-02-06,63,64.1,80,9.6,90,0.138,ATL
2019-02-07,3,66.5,48,10.4,80,0.0,ATL
2019-02-08,55,49.2,87,14.2,58,0.067,ATL
2019-02-09,73,43.7,81,9.5,43,0.012,ATL
2019-02-10,55,39.4,93,10.2,70,0.185,ATL
2019-02-11,61,49.9,100,6.8,94,0.173,ATL
2019-02-12,63,57.5,100,13.6,90,0.567,ATL
2019-02-13,3,43.5,39,10.0,51,0.0,ATL
2019-02-14,3,48.5,86,7.6,53,0.0,ATL
2019-02-15,63,55.2,82,9.9,86,0.406,ATL
2019-02-16,63,55.7,77,8.7,82,0.228,ATL
2019-02-17,63,49.3,99,10.4,92,0.28,ATL
2019-02-18,61,48.8,81,10.9,68,0.142,ATL
2019-02-19,63,41.7,100,13.6,83,0.866,ATL
2019-02-20,63,43.8,100,12.5,95,0.512,ATL
2019-02-21,63,61.8,91,6.9,95,1.185,ATL
2019-02-22,61,56.8,100,7.0,93,0.224,ATL
2019-02-23,51,50.9,100,11.5,92,0.043,ATL
2019-02-24,63,56.4,38,15.3,59,0.252,ATL
2019-02-25,3,46.2,57,7.3,48,0.0,ATL
2019-02-26,3,53.0,74,5.6,67,0.0,ATL
2019-02-27,61,57.3,76,4.3,90,0.169,ATL
2019-02-28,61,58.0,98,5.8,93,0.472,ATL
2019-03-01,55,59.9,89,8.6,92,0.209,ATL
2019-03-02,51,56.2,95,5.8,84,0.008,ATL
2019-03-03,65,53.8,96,9.6,87,0.728,ATL
2019-03-04,73,38.1,89,14.3,59,0.043,ATL
2019-03-05,3,33.4,8,13.7,45,0.0,ATL
2019-03-06,0,33.3,1,8.4,49,0.0,ATL
2019-03-07,3,43.0,41,5.0,52,0.0,ATL
2019-03-08,53,54.4,94,7.0,57,0.102,ATL
2019-03-09,61,59.8,98,9.5,82,0.106,ATL
2019-03-10,63,60.9,86,6.8,78,0.15,ATL
2019-03-11,53,55.8,89,5.5,76,0.039,ATL
2019-03-12,3,55.8,82,4.9,66,0.0,ATL
2019-03-13,3,56.7,83,10.4,66,0.0,ATL
2019-03-14,51,64.4,87,14.2,80,0.047,ATL
2019-03-15,63,59.2,99,11.0,71,0.646,ATL
2019-03-16,3,46.7,100,11.0,47,0.0,ATL
2019-03-17,3,48.6,74,6.2,49,0.0,ATL
2019-03-18,3,47.2,61,10.2,47,0.0,ATL
2019-03-19,3,44.6,52,8.1,50,0.0,ATL
2019-03-20,3,46.7,10,4.7,57,0.0,ATL
2019-03-21,51,50.1,46,11.3,57,0.008,ATL
2019-03-22,0,49.5,0,11.5,56,0.0,ATL
2019-03-23,3,52.1,48,4.9,55,0.0,ATL
2019-03-24,3,57.1,64,6.0,60,0.0,ATL
2019-03-25,61,57.9,76,7.7,81,0.24,ATL
2019-03-26,63,53.0,77,8.9,85,0.504,ATL
2019-03-27,3,50.7,17,8.2,60,0.0,ATL
2019-03-28,3,51.6,31,4.8,54,0.0,ATL
2019-03-29,3,58.6,92,5.5,64,0.0,ATL
2019-03-30,51,63.4,71,9.6,59,0.012,ATL
2019-03-31,53,49.1,100,14.1,60,0.059,ATL
2019-04-01,3,47.5,32,8.6,44,0.0,ATL
2019-04-02,3,49.4,36,6.4,52,0.0,ATL
2019-04-03,3,54.9,60,4.1,52,0.0,ATL
2019-04-04,61,58.9,80,8.3,65,0.224,ATL
2019-04-05,61,63.1,56,7.1,79,0.307,ATL
2019-04-06,51,63.7,100,7.0,85,0.043,ATL
2019-04-07,51,67.5,83,7.2,83,0.012,ATL
2019-04-08,61,66.4,96,8.8,92,0.496,ATL
2019-04-09,63,64.2,86,5.3,92,0.413,ATL
2019-04-10,3,66.5,22,5.3,74,0.0,ATL
2019-04-11,51,68.6,70,10.8,72,0.008,ATL
2019-04-12,61,67.8,99,7.6,81,0.154,ATL
2019-04-13,53,69.5,89,7.4,72,0.02,ATL
2019-04-14,65,66.6,73,17.6,78,1.094,ATL
2019-04-15,3,52.5,6,11.3,58,0.0,ATL
2019-04-16,3,58.0,19,5.6,61,0.0,ATL
2019-04-17,3,63.8,96,5.5,69,0.0,ATL
2019-04-18,53,68.7,93,12.3,67,0.055,ATL
2019-04-19,65,59.7,71,15.7,81,1.657,ATL
2019-04-20,53,47.4,94,10.5,80,0.138,ATL
2019-04-21,0,55.4,1,8.3,60,0.0,ATL
2019-04-22,1,61.8,2,3.9,65,0.0,ATL
2019-04-23,3,67.1,74,5.1,63,0.0,ATL
2019-04-24,3,68.4,58,6.4,63,0.0,ATL
